frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
109,3,[609.1137084960938 974.045654296875 1113.1705322265625 1356.1474609375],car,[781.9642333984375 1223.36083984375 937.592041015625 1261.97998046875],0.5427452921867371,GX15OGJ,0.32753359013895766
110,3,[605.7274169921875 979.9296875 1112.0460205078125 1363.26611328125],car,[780.068359375 1226.47412109375 934.1826171875 1275.1884765625],0.47607937455177307,CX15OGJ,0.549834315507214
111,3,[602.6441040039062 985.7033081054688 1110.1727294921875 1370.7420654296875],car,[770.5223388671875 1234.3477783203125 937.533447265625 1276.9932861328125],0.27813443541526794,GX15OGJ,0.31509493041936376
113,3,[598.7328491210938 993.8991088867188 1107.868408203125 1380.8563232421875],car,[781.9697265625 1253.18017578125 882.45263671875 1289.49072265625],0.5807669162750244,GXISOC,0.14051624336962568
114,3,[595.0410766601562 999.009033203125 1107.2000732421875 1387.8896484375],car,[769.462646484375 1258.2587890625 925.9202880859375 1294.76171875],0.5420319437980652,GX15OGJ,0.5360966189761581
115,3,[593.7727661132812 1001.5867309570312 1106.7578125 1392.2677001953125],car,[771.982666015625 1260.419677734375 928.05224609375 1297.237060546875],0.4439767301082611,GX15ODJ,0.39540953250737243
116,3,[590.9457397460938 1007.069580078125 1105.8251953125 1399.5260009765625],car,[762.355712890625 1265.997314453125 927.8720703125 1305.273193359375],0.4573764503002167,GX15OCJ,0.4640162946165968
117,3,[587.5218505859375 1013.3013305664062 1105.1246337890625 1406.59912109375],car,[763.7080688476562 1271.3642578125 917.7775268554688 1310.599609375],0.28885775804519653,GX15OCJ,0.2627572104102548
118,3,[586.1196899414062 1016.6544799804688 1104.7952880859375 1410.6815185546875],car,[774.015869140625 1279.1591796875 912.747314453125 1315.033203125],0.5575717091560364,GX15OGJ,0.5356126589936949
119,3,[582.04931640625 1022.2786865234375 1103.31005859375 1415.7808837890625],car,[765.4781494140625 1283.17431640625 925.6119384765625 1321.8779296875],0.7338390946388245,GX15OGJ,0.5747914960632752
120,3,[577.5343017578125 1026.57421875 1101.1729736328125 1421.139892578125],car,[756.7659912109375 1291.49609375 912.9329833984375 1327.423828125],0.5329576134681702,GXISOG),0.17960395657954475
121,3,[574.3500366210938 1030.785888671875 1101.010009765625 1425.3548583984375],car,[759.406982421875 1291.716552734375 922.5771484375 1335.69384765625],0.6828196048736572,GX15UGJ,0.17810120232399812
122,3,[571.2238159179688 1035.9949951171875 1100.3021240234375 1430.98974609375],car,[747.9244384765625 1298.2509765625 901.9031982421875 1341.81298828125],0.6666877269744873,GX15OGJ,0.515525964314232
123,3,[567.4232788085938 1041.70263671875 1099.85791015625 1434.8016357421875],car,[755.4573974609375 1310.1689453125 897.79638671875 1347.052734375],0.7026177644729614,GX15OGJ,0.41871809504500646
124,3,[566.126220703125 1045.73974609375 1098.8079833984375 1435.5872802734375],car,[756.2589111328125 1312.016357421875 900.2432861328125 1351.68994140625],0.8275344967842102,GX15OCJ,0.8015130109321454
125,3,[563.1021728515625 1051.3953857421875 1097.6558837890625 1436.2933349609375],car,[752.3927612304688 1315.97900390625 905.2134399414062 1357.51806640625],0.8181104063987732,GX15OGJ,0.6198043701481881
126,3,[559.1389770507812 1057.11328125 1096.06640625 1436.23828125],car,[743.5625 1325.7490234375 904.640625 1371.29931640625],0.7538527846336365,GX15OCJ,0.385960406274619
127,3,[557.2594604492188 1059.5003662109375 1095.33837890625 1435.4984130859375],car,[736.493408203125 1332.1451416015625 902.90283203125 1371.8863525390625],0.34082216024398804,GX15OCJ,0.5852797180955227
128,3,[553.4493408203125 1065.2347412109375 1093.7333984375 1434.8641357421875],car,[740.64794921875 1340.4287109375 900.186767578125 1378.48681640625],0.5015761852264404,GX15OCJ,0.44088951105567525
129,3,[549.8863525390625 1070.8565673828125 1092.2591552734375 1433.897216796875],car,[742.512451171875 1343.7789306640625 906.8760986328125 1383.9188232421875],0.7913381457328796,GX15UCJ,0.18889999147973502
130,3,[547.0865478515625 1075.1888427734375 1091.9173583984375 1432.75537109375],car,[746.820556640625 1348.287353515625 898.060791015625 1386.8935546875],0.6132073402404785,GX15OGJ,0.2591308582943466
131,3,[542.4639282226562 1080.884521484375 1090.2530517578125 1434.1171875],car,[738.7159423828125 1356.432373046875 873.9566650390625 1399.26318359375],0.5307702422142029,GX15OCJ,0.37950127566072844
132,3,[538.6941528320312 1086.678955078125 1088.56591796875 1434.148193359375],car,[737.347412109375 1366.908935546875 884.10302734375 1405.948486328125],0.39931854605674744,GX15OGJ,0.37725867738880203
174,6,[1370.8802490234375 917.9542846679688 1828.47021484375 1287.4918212890625],car,[1536.888671875 1158.62939453125 1676.60595703125 1206.079345703125],0.309762567281723,APOBJEQ,0.18741506605454897
175,6,[1371.3885498046875 921.0270385742188 1831.4163818359375 1290.742431640625],car,[1538.4140625 1161.9073486328125 1683.3193359375 1210.0584716796875],0.319499135017395,APNEJEQ,0.1408853849146581
182,6,[1374.5289306640625 945.487060546875 1845.7725830078125 1326.44677734375],car,[1549.547119140625 1192.1904296875 1695.8994140625 1232.60791015625],0.7149029970169067,AP05JED,0.2418714714688928
183,6,[1374.8841552734375 951.1817016601562 1847.446533203125 1333.1634521484375],car,[1552.2852783203125 1200.15771484375 1698.0736083984375 1243.51806640625],0.3544929623603821,AP05JEO,0.21103633872384508
